Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Northants,Derbyshire,Derbyshire,6 wickets,Northampton,"Aug 2, 2019",T20
Sussex,Kent,Sussex,9 wickets,Hove,"Aug 2, 2019",T20
Lancashire,Notts,Lancashire,3 runs,Manchester,"Aug 3, 2019",T20
Gloucs,Sussex,Sussex,3 wickets,Bristol,"Aug 4, 2019",T20
Middlesex,Somerset,Middlesex,35 runs,Richmond,"Aug 4, 2019",T20
WORCS,Leics,Leics,33 runs,Worcester,"Aug 4, 2019",T20
Yorkshire,Bears,tied,-,Leeds,"Aug 4, 2019",T20
Kent,Hampshire,Kent,4 wickets,Beckenham,"Aug 4, 2019",T20
Sussex,Glamorgan,Sussex,9 wickets,Hove,"Aug 6, 2019",T20
Gloucs,Kent,Gloucs,5 wickets,Bristol,"Aug 7, 2019",T20
Leics,Bears,Leics,55 runs,Leicester,"Aug 7, 2019",T20
Northants,Durham,Northants,21 runs,Northampton,"Aug 7, 2019",T20
Essex,Somerset,Somerset,114 runs,Chelmsford,"Aug 7, 2019",T20
Middlesex,Surrey,Middlesex,64 runs,Lord's,"Aug 8, 2019",T20
Glamorgan,Essex,no result,-,Cardiff,"Aug 9, 2019",T20
Leics,Northants,no result,-,Leicester,"Aug 9, 2019",T20
Surrey,Gloucs,Gloucs,9 runs,The Oval,"Aug 9, 2019",T20
Bears,Notts,Notts,28 runs,Birmingham,"Aug 9, 2019",T20
Derbyshire,Durham,Durham,7 runs,Derby,"Aug 9, 2019",T20
Hampshire,Somerset,Somerset,63 runs,Southampton,"Aug 9, 2019",T20
Sussex,Middlesex,Sussex,4 wickets,Hove,"Aug 9, 2019",T20
Somerset,Kent,Somerset,55 runs,Taunton,"Aug 10, 2019",T20
Bears,Lancashire,Bears,15 runs,Birmingham,"Aug 11, 2019",T20
Glamorgan,Surrey,Surrey,7 wickets,Cardiff,"Aug 11, 2019",T20
Middlesex,Gloucs,Middlesex,9 runs,Radlett,"Aug 11, 2019",T20
Yorkshire,Derbyshire,Derbyshire,55 runs,Leeds,"Aug 11, 2019",T20
Gloucs,Hampshire,Gloucs,7 wickets,Bristol,"Aug 13, 2019",T20
Derbyshire,WORCS,Derbyshire,20 runs,Derby,"Aug 13, 2019",T20
Northants,Lancashire,Lancashire,8 wickets,Northampton,"Aug 14, 2019",T20
Durham,WORCS,WORCS,3 runs,Chester-le-Street,"Aug 15, 2019",T20
Surrey,Sussex,Surrey,26 runs,The Oval,"Aug 15, 2019",T20
Derbyshire,Leics,Leics,55 runs,Derby,"Aug 15, 2019",T20
Middlesex,Hampshire,Hampshire,7 wickets,Lord's,"Aug 22, 2019",T20
Sussex,Essex,Essex,9 runs,Hove,"Aug 22, 2019",T20
Durham,Yorkshire,Yorkshire,14 runs,Chester-le-Street,"Aug 23, 2019",T20
Gloucs,Somerset,Gloucs,25 runs,Bristol,"Aug 23, 2019",T20
Leics,Notts,Notts,7 wickets,Leicester,"Aug 23, 2019",T20
Bears,WORCS,WORCS,9 wickets,Birmingham,"Aug 23, 2019",T20
Derbyshire,Northants,Derbyshire,9 wickets,Derby,"Aug 23, 2019",T20
Kent,Surrey,Surrey,1 run,Canterbury,"Aug 23, 2019",T20
Middlesex,Sussex,Sussex,8 wickets,Uxbridge,"Aug 24, 2019",T20
Somerset,Glamorgan,Somerset,25 runs,Taunton,"Aug 24, 2019",T20
Bears,Northants,Northants,4 wickets,Birmingham,"Aug 25, 2019",T20
